**harm,**harte,**harm_2,**harte_2,**kern,**silbe,**stress,**timestamp,**duration
II,C:maj,II7,C:7,c,dont,1,154.031,1
II,C:maj,II7,C:7,c,knows,1,157.036,1
*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,1
I,B-:maj,I,B-:maj,B-,yeah,3,160.051,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
-II,C-:maj,-II,C-:maj,f,hes,0,.,1
*>Chf,*>Chf,*>Chf,*>Chf,*>Chf,*>Chf,*>Chf,*>Chf,1
I,B-:maj,I,B-:maj,f,all,0,199.923,1
I,B-:maj,I,B-:maj,f,likes,1,203.000,1
I,B-:maj,I,B-:maj,f,likes,1,206.059,1
II,C:maj,II7,C:7,c,knows,1,209.097,1
II,C:maj,II7,C:7,c,knows,1,212.107,1
I,B-:maj,I,B-:maj,f,hes,0,215.088,1
I,B-:maj,I,B-:maj,f,all,0,218.131,1
I,B-:maj,I,B-:maj,f,likes,1,221.197,1
I,B-:maj,I,B-:maj,f,likes,1,224.256,1
II,C:maj,II7,C:7,c,knows,1,227.258,1
II,C:maj,II7,C:7,c,knows,1,230.216,1
II,C:maj,II7,C:7,c,knows,1,233.192,1
II,C:maj,II7,C:7,c,knows,1,236.184,1
*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,1
I,B-:maj,I,B-:maj,B-,yeah,3,239.154,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
IV,A:maj,IV,A:maj,A,_,.,33.734,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,E:maj,I,E:maj,g,get,1,35.454,1
I,E:maj,I,E:maj,g,get,1,38.949,1
I,E:maj,I,E:maj,e,dri-,1,42.454,1
I,E:maj,I,E:maj,e,man,1,45.991,1
I,E:maj,I,E:maj,e,tel-,1,49.502,1
I,E:maj,I,E:maj,e,usel-,1,53.034,1
I,E:maj,I,E:maj,e,fire,1,56.548,1
I,E:maj,I,E:maj,g,get,1,60.038,1
I,E:maj,I,E:maj,e,no,0,63.556,1
I,E:maj,I,E:maj,d,_,.,70.586,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
IV,A:maj,IV,A:maj,A,_,.,93.359,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,E:maj,I,E:maj,g,get,1,95.103,1
I,E:maj,I,E:maj,g,get,1,98.610,1
I,E:maj,I,E:maj,e,watc-,1,102.119,1
I,E:maj,I,E:maj,e,man,1,105.644,1
I,E:maj,I,E:maj,e,white,1,109.182,1
I,E:maj,I,E:maj,e,cant,1,112.727,1
IV,A:maj,-VIIc,D:maj/5,e,doe-,1,114.496,1
I,E:maj,I,E:maj,e,same,1,116.257,1
I,E:maj,I,E:maj,g,get,1,119.768,1
I,E:maj,I,E:maj,e,no,0,123.297,1
I,E:maj,I,E:maj,d,_,.,130.349,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
IV,A:maj,IV,A:maj,A,_,.,153.212,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,E:maj,I,E:maj,g,get,1,154.977,1
I,E:maj,I,E:maj,g,get,1,158.496,1
I,E:maj,I,E:maj,e,rid-,1,162.020,1
I,E:maj,I,E:maj,e,do-,1,165.523,1
IV,A:maj,-VIIc,D:maj/5,e,sig-,1,167.301,1
I,E:maj,I,E:maj,e,tryin,1,169.059,1
I,E:maj,I,E:maj,e,ba-,1,172.582,1
IV,A:maj,-VIIc,D:maj/5,e,lat-,1,174.354,1
I,E:maj,I,E:maj,e,see,1,176.139,1
IV,A:maj,-VIIc,D:maj/5,e,los-,1,177.902,1
I,E:maj,I,E:maj,g,get,1,179.669,1
I,E:maj,I,E:maj,e,no,0,183.173,1
I,E:maj,I,E:maj,d,_,.,190.234,1
*>Fadeout,*>Fadeout,*>Fadeout,*>Fadeout,*>Fadeout,*>Fadeout,*>Fadeout,*>Fadeout,1
I,E:maj,I,E:maj,g#,get,1,193.789,1
I,E:maj,I,E:maj,g#,get,1,197.333,1
I,E:maj,I,E:maj,g#,get,1,200.893,1
I,E:maj,I,E:maj,G,-act-,1,204.434,1
I,E:maj,I,E:maj,G#,-act-,1,207.999,1
I,E:maj,I,E:maj,G,-act-,1,211.579,1
I,E:maj,I,E:maj,g#,-act-,1,215.151,1
I,E:maj,I,E:maj,g#,get,1,218.690,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,,,*>Bridge,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,,,*>Bridge,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
*>Instrumental,*>Instrumental,*>Instrumental,*>Instrumental,*>Instrumental,,,*>Instrumental,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
*>Coda,*>Coda,*>Coda,*>Coda,*>Coda,,,*>Coda,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
vi,E:min,vi,E:min,d,I,0,20.332,1
